"Infants lacking immunization, DTP (% of one-year-olds)"
"Dimension: Health"
"SDG 3.b Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all"
"Definition: Percentage of surviving infants who have not received their first dose of diphtheria, tetanus and pertussis vaccine."
"Source: WHO (World Health Organization) and UNICEF (United Nations Children’s Fund) (2020). Estimates of national routine immunization coverage, 2019 revision (completed July 2020). https://data.unicef.org/topic/child-health/immunization/. Accessed 26 August 2020."
""
"114"," South Africa","11","","11","","15","","17","","20","","20","","28","","19","","12","","9","","14","","18","","19","","16",""
"185"," South Sudan","..","","..","","..","","..","","..","","21","","24","","33","","38","","45","","42","","45","","49","","49",""
"25"," Spain","5","","4","","2","","2","","2","","2","","2","","2","","2","","2","","2","","2","","3","","2",""
"72"," Sri Lanka","5","","3","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1",""
"170"," Sudan","17","","28","","25","","12","","1","","3","","3","","3","","2","","3","","3","","2","","3","","3",""
"97"," Suriname","6","","6","","12","","7","","4","","16","","10","","19","","22","","26","","20","","22","","17","","19",""
"7"," Sweden","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","2",""
"2"," Switzerland","4","","7","","5","","5","","5","","2","","4","","4","","3","","3","","2","","2","","2","","2",""
"151"," Syrian Arab Republic","7","","4","","10","","12","","11","","14","","32","","45","","35","","38","","39","","37","","33","","28",""
"125"," Tajikistan","..","","14","","12","","8","","5","","2","","4","","2","","2","","3","","2","","2","","2","","2",""
"163"," Tanzania (United Republic of)","8","","7","","8","","5","","2","","4","","1","","1","","1","","3","","5","","7","","9","","9",""
"79"," Thailand","3","","2","","2","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1",""
"141"," Timor-Leste","..","","..","","..","","36","","24","","30","","16","","13","","19","","20","","14","","8","","8","","8",""
"167"," Togo","10","","26","","20","","9","","3","","6","","6","","6","","11","","12","","11","","12","","12","","10",""
"104"," Tonga","3","","2","","1","","1","","1","","1","","5","","1","","1","","1","","3","","1","","1","","1",""
"67"," Trinidad and Tobago","6","","4","","10","","2","","4","","4","","3","","6","","7","","2","","3","","4","","1","","3",""
"95"," Tunisia","3","","3","","1","","2","","2","","1","","3","","4","","5","","7","","4","","6","","4","","3",""
"54"," Turkey","6","","14","","8","","8","","2","","2","","3","","1","","3","","2","","1","","2","","1","","1",""
"111"," Turkmenistan","..","","3","","3","","1","","1","","2","","2","","1","","1","","1","","1","","1","","1","","1",""
