"Mortality rate, under-five (per 1,000 live births)"
"Dimension: Health"
"SDG 3.2 By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births"
"Definition: Probability of dying between birth and exactly age 5, expressed per 1,000 live births."
"Source: UN Inter-agency Group for Child Mortality Estimation (2019). Child mortality estimates. www.childmortality.org. Accessed 26 August 2020."
""
"175"," Guinea-Bissau","222.6","","200.2","","174.8","","145.0","","113.8","","108.3","","103.1","","98.7","","94.8","","91.2","","87.7","","84.5","","81.5",""
"122"," Guyana","60.3","","52.8","","46.6","","41.5","","37.4","","36.7","","35.9","","35.0","","34.1","","33.1","","32.1","","31.2","","30.1",""
"170"," Haiti","144.5","","123.5","","103.4","","89.3","","208.6","","78.0","","76.2","","74.4","","72.6","","70.6","","68.7","","66.7","","64.8",""
"132"," Honduras","58.0","","46.3","","37.1","","29.4","","23.6","","22.7","","21.8","","21.0","","20.2","","19.5","","18.8","","18.2","","17.6",""
"40"," Hungary","17.3","","12.5","","10.2","","7.5","","6.0","","5.9","","5.7","","5.6","","5.4","","5.1","","4.8","","4.5","","4.3",""
"4"," Iceland","6.4","","5.2","","4.0","","3.2","","2.6","","2.5","","2.4","","2.3","","2.3","","2.2","","2.1","","2.0","","2.0",""
"131"," India","126.2","","109.4","","91.6","","74.4","","58.2","","55.1","","52.1","","49.1","","46.3","","43.6","","41.1","","38.7","","36.6",""
"107"," Indonesia","84.2","","66.4","","52.4","","41.9","","34.1","","32.8","","31.5","","30.3","","29.1","","28.0","","26.9","","25.9","","25.0",""
"70"," Iran (Islamic Republic of)","56.0","","44.2","","34.3","","25.9","","19.7","","18.8","","18.1","","17.3","","16.6","","16.0","","15.5","","14.9","","14.4",""
"123"," Iraq","53.7","","48.9","","44.3","","39.8","","34.7","","33.7","","32.6","","31.5","","30.5","","29.5","","28.5","","27.6","","26.7",""
"2"," Ireland","9.2","","7.3","","7.1","","5.2","","4.2","","4.1","","4.0","","3.9","","3.9","","3.8","","3.8","","3.7","","3.7",""
"19"," Israel","11.6","","8.7","","6.9","","5.6","","4.6","","4.4","","4.3","","4.1","","4.0","","3.9","","3.9","","3.8","","3.7",""
"29"," Italy","9.6","","7.5","","5.6","","4.5","","4.0","","3.9","","3.8","","3.7","","3.6","","3.4","","3.3","","3.2","","3.0",""
"101"," Jamaica","30.4","","26.0","","22.3","","20.1","","18.3","","17.8","","17.4","","16.9","","16.4","","15.9","","15.4","","14.9","","14.4",""
"19"," Japan","6.3","","5.7","","4.5","","3.7","","3.2","","3.4","","3.0","","2.9","","2.8","","3.0","","2.7","","2.6","","2.5",""
"102"," Jordan","36.1","","31.0","","27.0","","23.4","","20.3","","19.8","","19.2","","18.7","","18.2","","17.7","","17.2","","16.7","","16.2",""
"51"," Kazakhstan","52.3","","52.8","","42.8","","31.3","","20.2","","18.2","","16.2","","14.5","","13.1","","11.9","","11.0","","10.4","","9.9",""
"143"," Kenya","106.6","","118.5","","105.9","","79.3","","56.5","","54.1","","52.2","","50.1","","48.2","","46.3","","44.4","","43.0","","41.1",""
"134"," Kiribati","95.5","","81.7","","71.4","","66.1","","64.7","","63.5","","62.1","","60.6","","59.0","","57.5","","55.8","","54.3","","52.5",""
".."," Korea (Democratic People's Rep. of)","43.4","","72.8","","60.0","","33.0","","29.5","","27.7","","25.7","","24.0","","22.4","","21.1","","20.0","","19.0","","18.2",""
"23"," Korea (Republic of)","15.4","","10.4","","7.5","","5.5","","4.1","","4.0","","3.8","","3.7","","3.6","","3.5","","3.4","","3.3","","3.2",""
"64"," Kuwait","17.5","","14.3","","12.4","","11.4","","10.4","","10.0","","9.6","","9.2","","8.9","","8.6","","8.3","","8.1","","7.9",""
"120"," Kyrgyzstan","64.8","","62.8","","49.5","","39.2","","29.6","","27.7","","26.1","","24.7","","23.5","","22.3","","21.1","","20.0","","18.9",""
"137"," Lao People's Democratic Republic","153.0","","128.3","","106.7","","86.4","","68.1","","64.8","","61.8","","58.9","","56.1","","53.6","","51.3","","49.3","","47.3",""
"37"," Latvia","17.0","","19.8","","14.2","","10.5","","7.8","","7.2","","6.6","","6.0","","5.5","","5.0","","4.5","","4.2","","3.9",""
"92"," Lebanon","32.3","","25.6","","19.9","","14.1","","10.2","","9.8","","9.3","","9.0","","8.6","","8.3","","8.0","","7.7","","7.4",""
"165"," Lesotho","90.1","","100.9","","118.2","","122.3","","100.2","","97.8","","96.5","","94.7","","93.0","","92.5","","87.4","","84.1","","81.1",""
"175"," Liberia","261.9","","244.4","","186.6","","128.0","","96.7","","92.6","","88.7","","85.2","","81.9","","78.9","","76.1","","73.4","","70.9",""
"105"," Libya","41.6","","33.1","","28.1","","23.1","","16.6","","17.6","","15.1","","14.5","","13.9","","13.3","","12.8","","12.4","","12.0",""
"34"," Lithuania","15.0","","15.1","","10.7","","9.0","","6.0","","5.5","","5.2","","5.0","","5.0","","4.9","","4.7","","4.4","","4.0",""
"23"," Luxembourg","8.7","","6.3","","4.8","","3.7","","3.0","","2.9","","2.8","","2.8","","2.7","","2.6","","2.6","","2.5","","2.4",""
"164"," Madagascar","159.5","","136.4","","107.3","","82.8","","67.3","","65.0","","63.0","","61.2","","59.6","","58.1","","56.6","","55.2","","53.6",""
"174"," Malawi","238.7","","203.4","","173.0","","112.6","","88.4","","82.3","","75.4","","68.6","","63.0","","59.2","","55.7","","52.7","","49.7",""
"62"," Malaysia","16.6","","13.3","","10.2","","8.1","","7.9","","8.0","","8.0","","8.0","","8.0","","8.0","","8.0","","7.9","","7.8",""
"95"," Maldives","85.8","","62.4","","39.2","","21.7","","13.9","","12.9","","12.1","","11.3","","10.6","","10.0","","9.5","","9.0","","8.6",""
"184"," Mali","229.8","","211.7","","188.1","","157.4","","131.5","","126.7","","122.1","","117.6","","113.2","","109.1","","105.1","","101.3","","97.8",""
"28"," Malta","11.4","","9.4","","7.6","","6.8","","6.8","","6.8","","6.9","","6.9","","6.9","","7.0","","7.0","","7.1","","7.0",""
"117"," Marshall Islands","49.0","","41.5","","40.7","","40.0","","38.9","","38.7","","38.2","","37.5","","36.8","","36.0","","35.0","","34.0","","33.1",""
"157"," Mauritania","116.9","","113.5","","113.5","","109.7","","97.1","","94.4","","91.8","","89.0","","86.2","","83.5","","80.7","","78.2","","75.7",""
"66"," Mauritius","23.1","","22.2","","18.6","","15.7","","15.1","","14.9","","14.7","","14.6","","14.4","","14.3","","14.4","","14.7","","15.5",""
"74"," Mexico","44.8","","34.7","","26.4","","20.5","","17.4","","16.9","","16.4","","15.9","","15.4","","14.8","","14.1","","13.4","","12.7",""
"136"," Micronesia (Federated States of)","55.3","","55.3","","53.6","","46.7","","39.8","","38.6","","37.4","","36.1","","35.0","","33.9","","33.0","","31.8","","30.8",""
"90"," Moldova (Republic of)","33.3","","38.4","","31.3","","19.7","","17.2","","17.0","","16.8","","16.6","","16.4","","16.3","","16.2","","16.0","","15.8",""
".."," Monaco","7.8","","6.2","","5.2","","4.5","","4.0","","3.9","","3.8","","3.7","","3.6","","3.5","","3.4","","3.3","","3.2",""
"99"," Mongolia","107.8","","86.9","","63.7","","41.5","","26.1","","23.9","","22.1","","20.7","","19.5","","18.6","","17.7","","17.0","","16.3",""
"48"," Montenegro","16.5","","15.1","","14.2","","10.6","","6.4","","5.7","","5.1","","4.5","","3.9","","3.5","","3.1","","2.8","","2.5",""
"121"," Morocco","79.1","","62.5","","49.4","","39.8","","32.1","","30.7","","29.3","","28.0","","26.7","","25.5","","24.4","","23.4","","22.4",""
"181"," Mozambique","241.3","","217.8","","171.5","","133.6","","104.5","","99.5","","94.7","","89.9","","86.1","","81.8","","78.1","","75.5","","73.2",""
"147"," Myanmar","115.1","","101.7","","89.1","","76.7","","63.3","","60.7","","58.2","","55.8","","53.6","","51.6","","49.7","","47.9","","46.2",""
"130"," Namibia","73.7","","70.7","","77.1","","73.1","","48.3","","47.6","","48.0","","46.6","","45.3","","44.9","","42.9","","41.4","","39.6",""
".."," Nauru","59.7","","49.3","","41.6","","38.7","","39.0","","38.4","","37.6","","36.8","","36.0","","34.9","","33.9","","32.9","","31.8",""
"142"," Nepal","139.8","","107.1","","81.1","","61.1","","46.8","","44.4","","42.2","","40.1","","38.1","","36.4","","34.8","","33.4","","32.2",""
"8"," Netherlands","8.3","","6.9","","6.2","","5.4","","4.5","","4.3","","4.2","","4.2","","4.1","","4.0","","4.0","","3.9","","3.9",""
"14"," New Zealand","11.2","","8.7","","7.4","","6.6","","6.1","","6.1","","6.0","","6.0","","6.0","","6.0","","5.9","","5.8","","5.7",""
